market_id,cluster_id,cluster_label
1919417,1,US-Iran diplomacy & sanctions
1919421,1,US-Iran diplomacy & sanctions
1919425,1,US-Iran diplomacy & sanctions
1962237,1,US-Iran diplomacy & sanctions
2047426,1,US-Iran diplomacy & sanctions
2099029,1,US-Iran diplomacy & sanctions
2155052,1,US-Iran diplomacy & sanctions
2182248,1,US-Iran diplomacy & sanctions
2182249,1,US-Iran diplomacy & sanctions
2182250,1,US-Iran diplomacy & sanctions
2270338,1,US-Iran diplomacy & sanctions
2270330,1,US-Iran diplomacy & sanctions
2297854,1,US-Iran diplomacy & sanctions
2324252,1,US-Iran diplomacy & sanctions
2334107,1,US-Iran diplomacy & sanctions
567688,16,Israel politics (Netanyahu & elections)
1484949,16,Israel politics (Netanyahu & elections)
1484987,16,Israel politics (Netanyahu & elections)
1632763,16,Israel politics (Netanyahu & elections)
2098553,16,Israel politics (Netanyahu & elections)
1581306,6,Iran strikes & military action
1611267,6,Iran strikes & military action
1708086,6,Iran strikes & military action
1708109,6,Iran strikes & military action
1797309,6,Iran strikes & military action
2133404,6,Iran strikes & military action
2133405,6,Iran strikes & military action
2166353,6,Iran strikes & military action
2167541,6,Iran strikes & military action
2167542,6,Iran strikes & military action
2296135,6,Iran strikes & military action
2296150,6,Iran strikes & military action
2241742,6,Iran strikes & military action
2241871,6,Iran strikes & military action
2241873,6,Iran strikes & military action
2241872,6,Iran strikes & military action
958443,5,Iran regime & leadership
2308194,1,US-Iran diplomacy & sanctions
2308198,1,US-Iran diplomacy & sanctions
2308200,1,US-Iran diplomacy & sanctions
2308204,1,US-Iran diplomacy & sanctions
2308205,1,US-Iran diplomacy & sanctions
2308195,1,US-Iran diplomacy & sanctions
2308196,1,US-Iran diplomacy & sanctions
2308201,1,US-Iran diplomacy & sanctions
2308197,1,US-Iran diplomacy & sanctions
2308202,1,US-Iran diplomacy & sanctions
2308203,1,US-Iran diplomacy & sanctions
2334096,1,US-Iran diplomacy & sanctions
2334097,1,US-Iran diplomacy & sanctions
2334098,1,US-Iran diplomacy & sanctions
2334099,1,US-Iran diplomacy & sanctions
1982151,1,US-Iran diplomacy & sanctions
1982152,1,US-Iran diplomacy & sanctions
1982153,1,US-Iran diplomacy & sanctions
1959318,1,US-Iran diplomacy & sanctions
1959319,1,US-Iran diplomacy & sanctions
1959320,1,US-Iran diplomacy & sanctions
2002696,1,US-Iran diplomacy & sanctions
2002698,1,US-Iran diplomacy & sanctions
2002697,1,US-Iran diplomacy & sanctions
2034715,1,US-Iran diplomacy & sanctions
2034746,1,US-Iran diplomacy & sanctions
2047408,1,US-Iran diplomacy & sanctions
2047410,1,US-Iran diplomacy & sanctions
2047412,1,US-Iran diplomacy & sanctions
2047423,1,US-Iran diplomacy & sanctions
2047409,1,US-Iran diplomacy & sanctions
2047411,1,US-Iran diplomacy & sanctions
2047424,1,US-Iran diplomacy & sanctions
2109449,1,US-Iran diplomacy & sanctions
2109450,1,US-Iran diplomacy & sanctions
2297890,1,US-Iran diplomacy & sanctions
2297874,1,US-Iran diplomacy & sanctions
2297891,1,US-Iran diplomacy & sanctions
2354043,1,US-Iran diplomacy & sanctions
2354044,1,US-Iran diplomacy & sanctions
